NumFeatures	MonoMass	MinElutionTime	MaxElutionTime	TopPIC.Unique.ID	TopPIC.Mass	TopPIC.Retention.Time	TopPIC.Proteoform.Details	TopPIC.E.Value	TDPortal.Unique.ID	TDPortal.Mass	TDPortal.Retention.Time	TDPortal.Proteoform.Details	TDPortal.E.Value	H3_C1	H3_C2	H3_C3	H3_C4	H3_C5	H4_A1	H4_A2	H4_A3	H4_A4
3	5315.49666	49.134	50.255											427021.5	395384.9		123975.7	62745.78				15856.3
1	5316.0053	9.707	11.963											16924.67		8151.42		4965.29				
1	5317.6199	34.612	36.257														63068.02					
3	5318.0036	9.954	11.231											14124.9	11473.205	8988.26	8221.855	6603.39		3264.33		
1	5318.6109	16.682	18.419											29887.63			13431.82					
1	5319.6143	16.682	18.315											35849.34		12923.24						
1	5319.9077	72.485	74.067																		163301.6	
1	5320.7545	64.046	65.084																			25443.79
2	5321.25936	30.932	32.212												13509.555		19049.18					
1	5323.48538	87.207	89.719														80158.75					
2	5324.50095	87.824	89.646											78062.5		33258.25	84529.6		36893	41004.52		
1	5326.3749	32.468	33.542	Hdgf_1	5326.396786	33.81766667	Q8VHK7  (189-237) 	8.04e-09	Q8VHK7_5326.396675	5326.396675	33.76410761	Q8VHK7  (189-237)  	1.11e-13	69367.09		45064.78		57301.35	7739.51	32185.9	71289.79	30575.48
5	5326.8075	72.182	74.207											737725.9	280096.6		109228.8		27041.565		23151.74	
2	5327.3765	32.707	34.296											57855.98		28103.94					36509.45	35454.28
7	5327.85775	10.492	11.553											25233.985	35492.39	13296.64	19510.45	29456.97	5946.355	15489.87	30572.515	17841.33
1	5329.7084	11.159	12.492																	7966.8		
5	5332.99248	86.03	88.12												291467.4					23751.62	77892.94	
2	5333.01255	16.141	17.7												9677.07	9917.575						
1	5333.1364	12.12	13.574																4431.87			
1	5335.9192	9.94	11.582											12717.86								
2	5337.91222	9.994	11.581											19758.2	4916.86	3976.245						
3	5340.4857	88.335	89.759												74997.12						15129.66	
2	5342.3647	30.684	31.907																			13770.48
2	5342.66054	64.824	65.68											258078.1				735398.6				
3	5342.79623	69.963	71.782											625996.8	284721.1		59160.6				121009.3	
1	5343.627	22.155	23.448																		6745.42	
1	5345.6076	36.046	37.341																3879.69			
4	5345.6407	20.951	22.267												17709.895		19516.275	7010.68				
5	5348.95391	10.535	11.861											15891.11	25968.41	13944.99	40618.39	102712.4				
1	5349.05752	66.098	67.319											102178.4								
2	5349.11831	86.146	87.887											33259.69							14014.49	
1	5349.6032	35.395	36.951														29600.08					
1	5352.8734	25.078	26.594														122326					
1	5354.3063	84.905	85.51																		7673.26	
2	5354.7591	76.056	77.75												28126.69						18293.755	
1	5355.7714	63.602	65.033						P20156_5356.568165	5356.568165	60.77132249	P20156  (509-554)  	2.27e-13	65945.86								
3	5356.9912	78.142	79.06											166798.8	70106.115							
3	5358.7886	67.654	69.522											96963	147871.35		58382.69	27498.24			178087.1	
1	5358.9387	33.414	35.315											22168.48	23226.05					68816.19		38282.74
1	5359.82554	58.173	59.335											512544.1								
1	5359.94518	33.475	34.742						A0A0G2K079_5359.962585	5359.962585	34.77038245	A0A0G2K079  (298-347)  	2.73e-07		49376.54		34190.46			83702.65	38162.76	65548.46
1	5361.33904	57.544	59.566											472074.6								
2	5362.3089	84.666	85.456													7066.135						
5	5362.9487	34.559	36.614												38358.55				4177.98	39809.83	46464.51	36330.52
1	5365.6768	12.825	14.146																	5790.99		
1	5367.6736	75.903	77.196											62820.6								
1	5368.2264	12.715	14.44											30203.55								
1	5369.2298	12.903	15.028											18742.94								
1	5373.7128	67.694	69.516																	191264.3		
1	5373.8268	18.347	19.601																		11501.17	
1	5374.7143	67.694	69.49	Cbln1_0	5374.70796	68.92666667	P63182  (146-193) [CTrmAmid] & [NH3_Loss]	3.56e-05	Q3MHU3-1_5374.714455	5374.714455	69.05483233	Q3MHU3-1  (348-395)  	8.58e-08							234187.1		
1	5375.72399	67.565	69.593																	212122.6		
2	5375.93315	29.791	31.55															32303.54				35406.055
1	5376.9381	29.395	30.968															19159.74				
1	5379.656	22.781	24.35																		40007.35	
1	5380.38935	18.649	19.945												8774.37			10678.13				
1	5380.6583	22.925	24.222						A0A0G2K0M8_5380.679685	5380.679685	23.48935461	A0A0G2K0M8  (946-1000)  	7.85e-08								59201.25	
3	5383.68594	18.306	19.47														20703.93	15371.89				
2	5384.70275	57.462	58.453																			258770.35
3	5384.9131	10.117	11.44											3654.52	4349.875			4663.475				
6	5390.41988	85.927	87.273											14115.43	7732.86		7932.28			50660.615	3622.82	
6	5390.8496	59.467	61.279											738478.75	493353.2	321592.1	1349102		34046.4	587503	423183.045	
2	5391.7058	65.554	67.499												102323.1					251783.6	37620.68	
1	5393.8062	73.883	75.757												28020.72							
2	5395.8099	73.738	75.684												26397.67							
1	5397.84481	59.459	61.052												236302.6							
1	5398.6682	75.035	76.475												15293.79							
3	5399.41564	84.643	85.942											2034.38	5268.29						2485.34	
2	5404.05004	16.04	17.288												18066.37					14162.78		
2	5404.54512	59.513	61.446											479754.2	199231.6							
1	5406.0056	22.038	23.308															25795.41				
2	5406.91348	84.228	85.622											4842.09	3574.17		2079.935			6895.455		
1	5407.921	85.476	86.381																	1141.65		
2	5411.40209	54.846	55.868												1292668		1737409		44613.24			
1	5415.6913	69.947	71.685																	253109.6		
1	5418.69347	75.659	76.915												63787.83							
1	5419.7065	40.796	42.251												26646.71							
5	5420.34409	64.995	66.281											1463308	1422996.35			361677.7		193566.8	276133.4	163788.3
1	5421.5257	15.542	17.053																		9512.57	
1	5421.7096	42.545	43.847														97739.31					
1	5424.60126	24.357	25.404																		242847.8	
3	5425.2098	41.764	43.691												166752						46143.805	
1	5425.60346	24.357	25.302	Basp1_23	5425.6285	25.43516667	A0A0G2K1L8  (163-219) 	8.48e-15	A0A0G2K1L8_5425.628375	5425.628375	25.38273772	A0A0G2K1L8  (163-219)  	6.56e-29								267864.8	
3	5428.3493	61.402	62.782											558587.4								
2	5428.7909	11.342	12.485																	6575.03		9460.02
3	5432.0313	30.732	34.643											174823.7	51255.26							
1	5432.6445	70.063	71.494																		43840.46	
6	5432.88865	85.739	87.164											67202.64	84986.24	8317.55	7369.61		50963.15	82616.12	22876.48	34007.89
3	5434.97274	47.143	48.48											1107244		1374643	806025.6		51374.08			
1	5434.9775	47.299	48.054	Cck_0	5434.996051	47.61083333	P01355  (46-94) 	1.62e-07	P01355_5434.995955	5434.995955	47.529018	P01355  (46-94)  	9.5e-25	2179781		883395.1	1676792		68613.68			
2	5435.98283	47.103	48.144											1142633		1214416	987945.3					
1	5436.337	56.853	58.512											249963.6								
1	5440.69826	41.895	43.169											529832.2	686803.6	128526.9	126965.3					53552.03
1	5446.8462	62.184	63.155																	440555.1		
1	5449.6993	75.083	76.523											83747.55								
1	5450.02701	68.334	69.548	Slc25a5_0	5450.02347	68.824	Q09073  (2-53) [Acetyl] & [-15.9804]	3.12e-08							65528.72							
3	5451.9692	45.012	45.961											238950.9			436191.75	225411.15				
9	5453.6968	27.273	29.669																	43808.455	190705.2	16560.11
1	5454.4132	33.585	35.039																		9604.48	
1	5455.35875	60.933	62.473															209091.7				
5	5455.95415	10.351	11.381											23084.62	27443.445	7628.385	10500.535	23190.1		14826.585	19578.68	22535.44
3	5459.8562	85.624	86.883											167621.6	406603.4	93121.91	126824.5	19588.77		50496.12	36064.51	
1	5459.8579	85.651	86.821	Cox8a_11	5460.02125	86.12933333	P80433  (23-69) [183.2435]	8.74e-10						196647.6	652675.3	113743.7	149770			114120.2	40239.22	
2	5460.85945	85.626	86.938											158545.1	508097.4	96038.39	139356.25			83434.275	30126.975	
1	5463.9591	64.9	66.563											26857.29								
3	5464.8641	85.014	86.138											21252.67	12079.525							
4	5465.80165	75.185	76.69											141903.7	52102.1							
2	5467.80345	77.056	78.832											24166.91	106379.47						17588.25	
3	5468.6849	24.803	26.664															68850.12		11084.18	17552.83	
1	5469.4062	35.615	36.989																		37103.73	
2	5475.8757	88.784	90.196											10918.935								
2	5475.8794	34.633	35.987																	20601.675		
3	5476.0877	16.152	17.428												14993.135	14827.54						
1	5477.8317	75.468	76.761											19955.55								
4	5479.83635	71.726	73.151											62847.59	43466.07	9740.79	48580.56					
1	5479.8572	75.679	77.256	Cox7c_0	5480.04151	75.08933333	P80432  (17-63) [-1.8260]	3.56e-17						45252.62	19066.14							13728.87
2	5480.8478	74.272	75.816											4702792	19058002.5	975411.605	1995338.25	1498857	472111.7	239324.6	3152068.9	622921.7
1	5481.8551	73.883	76.112	Cox7c_16	5481.867511	74.2455	P80432  (17-63) 	2.84e-31	P80432_5481.867415	5481.867415	74.31250121	P80432  (17-63)  	1.33e-72	58940470	36264390	1982392	3308339	1607193	1011821	1748631	5836254	2759731
3	5485.73476	106.435	107.151											181810.5	34178.01	30139.53	31225.065	25417.615		57934.43		
5	5485.73685	18.983	20.263											28450.49	28932.56		18613.43	16794.11			46065.67	18620.28
11	5486.6915	29.385	31.025																	36369.36	18276.44	17507.04
7	5486.82871	73.549	74.99											2062721	4603742	1042302.15	877774	71959.52	151745.3	272019.2	1027915	711207.4
5	5486.8567	38.117	39.823																27730.46	73688.21	48561.57	
3	5487.59015	11.037	12.309																		21439.07	9000.67
1	5488.5911	11.063	12.265																		21178.91	
1	5492.0177	9.9	11.289											4581.98								
1	5493.01947	9.9	11.435											7494.34								
2	5495.83216	67.685	69.749											70151.46	47447.19						49825.38	
1	5497.84627	69.825	71.157	Cox7c_14 + Cox7c_5	5497.84988 + 5497.85038	72.91583333 + 71.2525	P80432  (17-63) [Plus1Oxy] + P80432  (17-63) [Plus1Oxy]	1.7e-25 + 1.96e-25										1042605				
1	5499.19301	41.553	43.132												39384.5							
1	5500.6856	25.875	27.893																	16863.71		
16	5500.8425	71.736	73.477											1443271.15	1235020	238057.8	870948.9	276059.2	54505.27	307086.3	326731.9	432250.9
1	5502.184	11.095	12.314														2819.61					
3	5511.8453	14	15.284																	14100.95	13298.55	
1	5511.8477	36.911	38.386												27173.16							
1	5513.8383	67.667	68.8	Cox7c_2	5513.83896	67.97816667	P80432  (17-63) [Plus2Oxy]	2.92e-21						595740.8	785150.7		551170.6	178461.5		289970.6	699677.4	
1	5513.847	71.919	74.067	Cox7c_11	5513.8493	72.69	P80432  (17-63) [Plus2Oxy]	1.31e-23						984413.9	660869.5						85580.95	
18	5515.83702	71.616	73.272											213843.2	417428.75	386784.2	344323.2	795849.1	368919.1	64337.42	206387	212884.2
1	5516.84353	66.401	67.763												27900.79							
1	5517.8502	66.401	68.38																2341.17			
2	5518.3774	61.607	62.926											8189565	996046.8			115434.8				
1	5522.59488	24.263	25.68											62828.13			66202.65	118540		26994.06	35910.65	34546.54
1	5522.8451	75.332	77.892												98009.04	15367.49	20395.98			19431.95		
1	5523.6	24.357	25.302						A0A0G2K162_5523.624765	5523.624765	24.49442241	A0A0G2K162  (2-55)  	5.44e-11	62828.13	25867.54	7956.96	67652.24	120860.2		30683.88	49945.22	35750.87
1	5523.856	75.622	77.892						P80432_5523.87798	5523.87798	76.64127511	P80432  (17-63)  	1.02e-11	175089.4	250470	17502.99	45779.03	16366.9		75618.3	212707.6	
1	5524.6056	23.923	25.158														53376.74					
1	5524.86	75.612	77.892	Cox7c_24	5525.02832	77.96533333	P80432  (17-63) [43.1608]	2.46e-06						183874	242382.1	18286.46	51147.69	16333.81		92726.65	209555	
1	5525.85533	75.332	77.746												185391.3		32692.08			27281.06	54404.77	
4	5525.99676	10.489	11.569											14422	14726.805		3436.95	9675.82	1344.17	4383.89		
3	5526.36482	63.904	65.459											1891888						26810.2	50438.645	54273.71
1	5527.8498	106.524	107.242											12485.15								
1	5529.83165	73.813	76.464	Cox7c_31	5529.83992	75.8615	P80432  (17-63) [Plus1Oxy] & [Plus2Oxy]	9.78e-09						12837.21		52012.21				24804.13	120564.3	26470.58
1	5529.8379	67.904	69.545	Cox7c_4 + Cox7c_8	5529.83837 + 5529.84014	68.3185 + 70.81833333	P80432  (17-63) [47.9709] + P80432  (17-63) [Plus2Oxy] & [Plus1Oxy]	2.32e-14 + 9.67e-21						1584151	5004872	346034.3	727635.3	254200.9	143975.6	168376.3	484980.7	374818.5
13	5532.595	70.317	71.984											8658194.5	761155	273988.6	263616.475	686642.4	145960.5	318628.95	411758	466364.1
1	5533.00225	53.363	55.571	Atp5f1e_0	5532.99916	53.83716667	P29418  (3-51) 	1.47e-19	P29418_5533.003065	5533.003065	53.77389194	P29418  (3-51)  	1.61e-72	133739.7					37742.4			
5	5533.9963	53.382	55.272											1034536	733050.3				30687.8		198301.5	
1	5534.11395	58.486	61.639											2040231					15366.83			
2	5534.3052	12.218	13.436																5503.55		10686.33	
4	5536.74775	29.88	31.352											402568.95	356465.8		60836.65		18482.43	146521.55	30195.22	
1	5536.74805	28.857	30.401	Atp1a3_1	5536.771241	29.7735	P06687  (2-48) [Acetyl]	5.85e-10	P06687_5536.771165	5536.771165	29.73816489	P06687  (2-48)  	9.86e-13	105935.4	54241.84							
1	5537.751	29.137	30.773												206626.2		27549.6		12059.24	48393.48		
1	5539.9864	60.762	62.109											189576								
3	5540.84746	75.115	77.25												42245.61		23536.04			17459.26	36780.055	
1	5541.84945	74.329	76.869											32344.56								
1	5545.8254	65.491	66.861	Cox7c_1	5545.83548	66.17833333	P80432  (17-63) [63.9680]	6.01e-21						4472004	3026964	721490	486758.9	836033.9	766912.9	520203.2	1285978	1309258
12	5547.831	70.536	72.333											173343.45	2790760	627103.65	358227.9	362566.085	373761.12	431231.5	317350.1	132253.63
3	5548.7565	12.893	14.087																6963.025		8041.26	
3	5549.3805	35.362	36.705												76636.17					30032.92	13578.35	
1	5553.29125	63.935	65.478												140701.8							
6	5553.8322	76.714	78.445											294586.55	359791.45	127536.6	106803.84				248479.4	
1	5553.8365	76.665	78.275	Cox7c_26	5553.83909	77.5975	P80432  (17-63) [Carbamyl] & [Dimethyl]	3.06e-09							174712.8	61288.99						
2	5554.8419	77.061	78.268											466084.7	389214.25	125158.8	109716.4					
3	5558.83544	72.204	74.282											146298.5	33656.12							
2	5559.5689	16.378	17.88																		13508.65	
1	5560.7954	40.325	41.567											153813.9				478065.6				
1	5561.7974	40.803	42.709						F1LTK8_5561.784545	5561.784545	40.84405335	F1LTK8  (241-287)  	2.41e-05	171503.9			141491.7	572615.8		252669.4		
5	5563.7926	41.229	42.744											215250.8			61331.31	194363.1		329524		231736
5	5570.7658	88.895	90.032											18541.28		9337.89	20508.43	21703.59		24082.81	12229.79	7136.29
6	5572.7738	21.823	23.378											70371.565	54928.01		101396.1	49657.63			53877.81	
1	5572.91903	36.557	38.205											103949.8						17301.87		
1	5573.8295	67.565	69.817												18965.6							12091.04
10	5574.8244	73.619	75.497											105734.2	92965.59	35848.82	57169.32	29334.33	11931.185			53899.35
7	5579.7864	40.36	42.054															253474				328989.3
1	5579.97665	24.925	26.467											54409.7								
1	5583.2261	12.252	13.45																5114.58			
3	5586.7423	31.002	32.333												10189.35	18669.63	14940.93					
13	5586.8274	73.901	75.713											105119.2	62104.505	29782.835	62276.55	30882.67		40788.13		
4	5586.9539	86.373	87.868												38022.66		18230.37	30505.81		25511.13	16124.15	36599.7
1	5587.0357	55.366	56.421											120974.7								
1	5588.04512	55.425	57.084											321225.3								
6	5590.484	25.368	27.072											1181976.5	594325.9	336253.5	483903.15	658647.9		33167.77	377225.3	264656.7
1	5590.9469	30.824	31.974	Dpysl2_0	5590.958144	31.40833333	P47942  (518-570) 	1.09e-05	P47942_5590.958065	5590.958065	31.37850459	P47942  (518-570)  	4.73e-16								49487.02	
3	5591.5518	13.439	14.736																7060.84		11069.01	
4	5591.9347	30.406	31.9												20370.99					20303.66	54890.135	21993.235
2	5594.27167	76.541	77.877												9926.19		3264438					
5	5594.4312	39.575	41.008											956931.85	270943.335		103358.4			64252.075		93345.75
1	5594.84679	67.432	69.516												60192.77				22278.73			34381.66
2	5602.6176	10.928	12.176																		13511.59	4273.41
32	5615.7518	67.892	69.71											346405.9	100521.38	52107.06	590468.3	3870966	140889.75	130110.9	114705.8	200824.5
10	5616.00105	19.958	21.449											101293.9	31256.04	14911.01	104456.29	69101.52	5299.69	28059.705	69894.81	26388.85
13	5617.7219	29.956	31.474											184582.25	151085.1	15667.11	27320.94		18639.33	33372.97	53748.32	
11	5617.8097	39.556	41.126											84935.64	109389.25	39636.15	173120.7	261845.6				15384.92
7	5617.95751	84.699	85.445											18406.21	19710.59		9415.82			4755.16		
3	5620.59125	69.01	71.325												582216.3		4923128	2256581			2543422	653961.7
1	5621.9453	75.477	76.761												9775.8							
4	5622.0714	42.197	43.43											92089.04			90529.405	125581.7				
5	5622.1027	10.146	11.955											8500.32	5604.175	4335.66	3266.32	2776.21				
1	5624.50253	32.768	34.56																		21008.52	
1	5625.50635	32.977	34.598																	32428.26	47757.39	
4	5628.001	10.265	11.646											10490.59	8069.1			9254.02				
1	5628.7739	22.159	23.267						A0A0G2K2D6_5628.798475	5628.798475	22.15524508	A0A0G2K2D6  (182-233)  	1.5e-08	276911.5	155283.9	25857.49	233977.1	108689.6			25992.94	
1	5630.35836	79.28	85.91														1529503					
6	5632.0236	66.514	68.588											105662.125	60011.805	1594159	18068.96		10488.035	1084383	30744.63	662585.5
1	5632.0587	55.786	57.597	Atp5f1e_4	5632.071566	55.9535	P29418  (2-51) 	6.1e-25	P29418_5632.071475	5632.071475	56.87783732	P29418  (2-51)  	1.89e-64	116327700	49839500	10827910	20503580	15955810	4909881	20056370	25661240	10742220
2	5635.9583	76.236	77.811												20872.37						19233.73	90195.62
10	5636.06166	55.392	56.738											35270390	18891200	7351286	5335561.5	6102908	2752067	7051181	9224929	4372095
6	5636.192	20.29	21.872											93663.76	63681.28	24450.38	48202.08	14079.71			17011.325	
4	5636.8082	40.718	42.007														66035.05	189969.7				
1	5638.65092	22.682	24.07											144825.1				25466.72				
1	5640.7886	28.961	30.401																	11132.32		
1	5640.9929	41.962	43.265												36782.32							
5	5642.0168	10.724	12.32											6531.93	7858.755		7112.28		4779.21			
1	5643.50743	25.019	26.124															39211.78				
1	5648.0622	55.101	56.293																8457.15			
7	5648.65138	83.783	84.891											2936.82			5119.84	520417.2	3672.67	4164.855	10595.32	5329.25
1	5650.21161	16.688	17.527														6950.53					
1	5650.649	70.538	72.244																21618.03			
5	5650.6894	63.724	65.017												2569181		2762450.5			614210.3	480843.6	356838.4
7	5654.11806	25	26.295											1000516			720554.5	663259.6		180295.1	129554.9	
2	5654.5762	84.832	86.097											4099.81	2323.3		1849.66				3622.025	
2	5654.8285	10.54	12.035															20859.365				
1	5658.1745	69.357	72.485																25549.37			
2	5662.06065	84.122	84.973											6798.31	714.57							
2	5662.46275	10.237	11.695														5636.45				6514.14	7332.35
1	5664.0479	44.521	45.285	Atp5f1e_1	5664.04454	45.79483333	P29418  (2-51) [Plus2Oxy]	2.45e-16						5032296	2779781	750189.9	1636153	2098708	668156	1831607	2416506	1651479
7	5665.0536	44.612	45.609											2330109	2525864	556394.2	976674.8	1015351	572088.2	1130237	2220839	1006859.3
2	5665.41391	78.595	80.049																1293118			795002.5
34	5666.05749	59.054	61.07											765684.95	847094.3	417268.6	1279214.65	463928.8	238775.2	328257.95	167290.4	288843.25
1	5669.9	31.783	33.318																		8326.91	
1	5671.5228	17.024	18.426																	8077.05		
7	5671.68563	63.814	65.928											2075008	5929058	1235415	2962639	1194666.5	128638.3	809421.8	1539124	1267213
1	5674.0699	64.88	66.395	Atp5f1e_7	5674.082131	64.54916667	P29418  (2-51) [Acetyl]	4.32e-11	P29418_5674.08204	5674.08204	64.49054359	P29418  (2-51)  	9.11e-20						25187.22			
2	5674.7819	31.98	33.185														30479.87					
1	5677.04038	49.737	51.302												35080.6							
21	5679.67723	60.435	62.103											226718.7	290290.8	721383.6	1079479.415	819200.05	114246.45	405486.2	280023.5	371497.8
7	5679.946	13.498	14.905												23329.34			13178.765		11879.66	10961.97	14120.83
1	5680.035	45.727	46.464	Atp5f1e_12	5680.03306	46.06183333	P29418  (2-51) [47.9615]	1.02e-15						1756267	873307.4		771900.4	1477757	195069		624291.8	1093780
14	5680.0388	42.039	44.357											402595.1	452087.7	141331.15	291724.9	363502.1	226698.35	248428.6	256738.7	346463.75
2	5681.04571	45.687	46.487											1467343	528327.8		701190.3	848484.75	169120.05		305405.5	
5	5687.704	61.389	62.788														391575.2	334885.8		48966.26	393226.3	135306.6
1	5687.7318	45.001	46.407																		37252.71	
4	5688.6679	19.461	20.878														10613.21		7212.965	27279.61	34133.91	39156.57
2	5689.681	13.815	14.953													14244.85		15401.24	4606.68	16032.5	26635.87	
1	5691.29037	78.637	79.398															358973.9				
3	5691.686	13.808	15.007													13921.11	17952.64	13738.44	4797.25	16576.04	36359.27	5731.59
9	5692.69682	63.934	65.682											53988.765	663325.6	185637.6	309704.8	72041.515	4322.14		197706.4	
3	5694.7142	64.638	66.24											615285.35	143781.75	164172.9	582618.95	446959.1	71848.44		210961.95	
1	5698.039	10.64	11.468						P18437_5698.055295	5698.055295	10.98386955	P18437  (30-85)  	2.28e-12	63171.48	43845.9	13145.05	27304.03	57536.03	4431.08	35673.61	24998.09	16286.86
6	5699.0391	10.595	11.583											55491.115	47749.095	18447.64	28876.15	57724.33	6555.98	41276.885	37848.73	27981.975
3	5699.82155	38.13	39.498											68482.19			146220.7	229917.7				
6	5700.18514	61.895	63.697											284869.45	457752.1	127120.74	155044.15		33369.28		182725.9	
1	5700.8074	19.942	20.658	Tppp_3	5700.830938	20.53816667	D3ZQL7  (166-218) 	1.83e-06	A0A0G2K2D6_5700.830835	5700.830835	20.5145614	A0A0G2K2D6  (183-235)  	2.79e-11	200161.6	111022.6	28031.51	159977.2	130736.3	10653.4	78231.43	247633.5	100457.8
10	5701.80824	19.726	20.864											126469.4	53991.64	10045.17	74184.37	67065.875	5968.98	41423.675	61022.54	48460.95
1	5704.08072	55.495	56.805											289371.1								
1	5704.61484	15.577	16.68						O35314_5704.637135	5704.637135	16.94721819	O35314  (383-432)  	1.64e-06	16597.15				24800.29	13891.65	106890.9	145998.9	58534.99
2	5705.4753	34.322	35.838																	24382.92	22606.49	
5	5705.6196	15.621	17.048													8394.58	13098.36	17979.02	5821.67	54533.74	75646.315	43479.59
1	5706.84	41.228	42.405															213231.7				
2	5707.0489	62.097	63.723																12437.045			
1	5707.9948	73.447	75.035											68245.28								
1	5709.0138	72.863	74.89											132247.9								
2	5711.9014	73.129	76.017											17099.21					44028.055		10428.735	22012.97
1	5713.8062	37.133	38.823														115350.3					43289.4
2	5716.9436	72.556	73.946																52174.59			
8	5717.11113	39.836	41.251											224654	144067.45		108832.525	168168	39828.41			
5	5718.9563	68.206	69.572											97268.64			63832.805					
1	5720.2208	64.541	65.952																			49216.05
1	5720.8387	31.063	32.768															15095.13				
1	5721.847	31.063	32.768															23360.31				
2	5724.72715	38.454	41.016												262669.8					44986.68	121399.7	
1	5727.58361	7.865	11.338											9566.54	3170.05							
5	5729.8155	22.577	24.65												7547.39						33148.145	
1	5729.9928	55.495	56.805												145752.4							
1	5730.453	45.001	47.535											104022							75670.24	
2	5732.0351	74.542	76.042											44838.94								43534.92
2	5732.76609	38.733	40.111											141375.9			46738.61			108314.3		
8	5733.5494	25.396	27.01											2519941	991677	934015.4	2071920	936121.95		465058.2	316126.7	273576.9
2	5733.79012	46.852	48.07											680882.85						1040599		
1	5734.797	46.785	47.756											572234.1								
1	5739.6725	24.154	25.462														94170.4					
1	5739.9878	68.849	70.42											490910.9								
1	5741	68.849	70.42											327852.6								
2	5741.8041	38.633	41.237																	29088.27	134966.7	
1	5742.98835	75.435	76.665											22356630								
2	5748.64362	74.676	76.188											1806317	631309.8		1143109					
1	5749.66689	74.792	76.378											1141453								
2	5754.31256	73.956	75.001													209730.2		605633.3				206795.7
3	5755.05515	10.368	11.677												13571.075		10201.92	4379.98				
1	5756.7813	45.499	46.737													18978.96	40767.46					
1	5756.9455	74.792	76.378												123497.3							
3	5759.9483	42.987	44.328											246868.5								
1	5761.0438	33.236	34.614	Dpysl2_3	5761.063672	34.541	P47942  (518-572) 	6.4e-09	P47942_5761.063585	5761.063585	34.50961573	P47942  (518-572)  	2.24e-23		43563.65					78358.12	223811.9	59398.66
1	5762.7186	60.618	61.968													76832.94						
3	5762.7238	14.428	15.818																		14192.72	
5	5763.3714	74.913	76.374												117487.1	335194.1	23563.99			242178.2		
9	5763.8755	32.793	34.703											35565.78	53432.06		47111.175	36524.33	4534.76	58833.625	220319.7	43151.26
1	5766.7737	49.713	50.779																	353072.1		
1	5766.8577	11.597	13.049															4144.23				
2	5768.0429	33.01	34.388																		38696.45	
5	5768.6392	19.356	20.346											95925.41		45641.87	28900.02	38915.87	31264.05	107465.3	111518.25	65056.69
1	5768.7044	75.078	76.705																	322869.6		
4	5773.044	24.814	26.166															15195.5				
1	5773.8862	42.172	43.627															139060.8				
3	5775.0928	72.811	74.215																16679.08			
1	5775.8687	15.413	17.029	Nucks1_0	5775.892644	16.51616667	Q9EPJ0  (2-51) [Acetyl]	2.22e-07	Q9EPJ0_5775.892565	5775.892565	16.45270079	Q9EPJ0  (2-51)  	1.11e-17	115423.2	19139.64	43493.22	53417.57					
6	5775.90445	64.08	65.879											137526.6		18102.19	64431.71	52742.83	11616.52		31627.77	
3	5777.8468	15.411	17.093											56922.085	20308.54		27803.06	9297.295				
4	5778.86911	31.449	32.886														54102.62	59441.71				18416.66
1	5781.0299	52.171	53.436																		32921.02	
2	5781.28217	88.532	89.658												442529.2						156612.2	
4	5784.87705	22.998	24.266											16323.2	18472.05		74269.15					
2	5784.92034	32.102	33.486											37433.17			19891.81	65530.37				
7	5785.58165	15.786	17.217											65036.58		60135.01	59582.285	73297.62	14145.86	138564.8	164109.6	103315.97
5	5786.1739	62.804	64.378											510745.65		94369.22	65452.58		29384.015	152204.6	71453.995	55579.98
3	5786.9175	40.719	42.113											118587.9			93671.74	193421.2				31122.15
1	5787.9196	40.414	42.013															124881.4				
1	5788.2784	44.704	46.057											20745.92								
1	5799.1711	63.292	64.757											117664.9								
2	5801.90524	38.57	40.055														116725.6		4336.79			
4	5805.97777	41.026	42.266														93201.825	223157.5				
3	5806.129	67.477	69.237											112245.81	24878.47	7144.46	18240.41					
1	5806.5746	78.01	79.5																		26104.87	
11	5807.0496	18.266	19.766											86891.375	14710.2	15534.51	25178.51	12739.5		8949.37	12098.73	
1	5808.037	73.447	75.035											51249.4								
2	5811.8539	27.156	28.139											67175.73	32578.98	24762.555	94173.36	91071.32				18887.16
1	5813.8863	20.707	22.998	Tppp_5	5813.915002	20.94833333	D3ZQL7  (165-218) 	4.02e-18	A0A0G2K2D6_5813.914895	5813.914895	20.66754102	A0A0G2K2D6  (182-235)  	4.31e-41	1772081	1138464	329475.3	1904504	1303532	65304.6	233008.3	702671.5	278942
14	5816.8642	22.711	24.226											1697032	1023988	291645.4	166854	144285.3	49056.075	206385.1	340893.4	243271.8
4	5817.20753	66.665	68.091											151990.9	45281.24	27492.605	39966.62	36670.05	12024.99	51370.52		
1	5818.21497	68.797	71.082											89896.86					13620.12			
1	5818.9875	41.962	43.52														61318.03					
1	5819.9933	42.106	43.185											83066.94			111740.2					
1	5824.0369	73.592	75.903											47897.53								
1	5826.0993	10.772	11.613						P18437_5826.113865	5826.113865	11.13059348	P18437  (30-87)  	1.2e-14	80299.6	46270.08	16381.94	50459.45	71821.15	2805.41	35520.48	13045.71	16281.16
5	5827.10723	10.673	11.604											76224.385	57979.45	30008.21	53254.29	109763.55	5930.02	42077.89	39855.58	17233.825
1	5835.1021	63.133	64.9											109475.4	341732.2		56255.96					
